,zip_code,agi_range,return_count,exemption_count,dependent_count,agi_amt,salary_wages_count,salary_wages_amt,taxable_interest_count,taxable_interest_amt,ordinary_dividends_count,ordinary_dividends_amt,business_income_count,business_income_amt,farm_income_count,net_capital_gain_count,net_capital_gain_amt,taxable_IRA_dist_count,taxable_IRA_dist_amt,pension_income_count,pension_income_amt,unemployment_count,unemployment_amt,social_security_count,social_security_amt,item_deduc_count,item_deduc_amt,charitable_contribution_count,charitable_contribution_amt,mortgage_int_count,mortgage_int_amt,property_tax_count,property_tax_amt,state_local_income_tax_count,state_local_income_tax_amt,state_local_sales_tax_count,state_local_sales_tax_amt,taxable_income_count,taxable_income_amt,tot_tax_credit_count,tot_tax_credit_amt,earned_income_credit_count,earned_income_credit_amt,excess_eaned_income_credit_count,excess_eaned_income_credit_amt,tax_liability_count,tax_liability_amt,balance_due_count,balance_due_amt,refund_count,refund_amt,paid_prep_count,year,agi_amt_avg,salary_avg,mortgage_amt_avg,prop_tax_avg,taxable_income_avg,earned_income_credit_avg,excess_eaned_income_credit_avg
1066,37331,"$1 under $25,000",1547,2513,784,19279,1209,13504,247,324,88,174,199,1386,0,63,-46,88,391,268,2539,171,911,88,133,70,1118,46,114,41,224,53,44,0,0,54,60,627,3509,157,42,638,1421,586,1282,712,549,116,83,1352,2783,882,2011,12.4621848739496,11.1695616211745,5.46341463414634,0.830188679245283,5.59649122807018,2.22727272727273,2.1877133105802
1067,37331,"$25,000 under $50,000",765,1667,533,27299,643,20983,208,403,73,84,72,466,58,47,-41,74,649,196,3312,93,477,173,966,85,1324,58,237,45,272,71,52,0,0,70,105,748,13479,321,265,198,360,162,291,652,1493,89,95,671,1864,484,2011,35.6849673202614,32.6329704510109,6.04444444444444,0.732394366197183,18.0200534759358,1.81818181818182,1.7962962962963
1068,37331,"$50,000 under $75,000",399,1028,329,24510,342,18204,155,242,52,85,49,637,0,33,65,64,877,126,2803,23,71,113,1662,82,1464,65,302,64,431,74,67,24,58,69,118,398,15820,190,282,0,0,0,0,385,1993,81,180,317,979,267,2011,61.4285714285714,53.2280701754386,6.734375,0.905405405405405,39.748743718593,NA,NA
1069,37331,"$75,000 under $100,000",207,581,195,17845,189,14361,83,81,37,57,28,166,25,20,-22,33,668,71,1542,32,146,49,847,76,1543,63,336,60,463,72,73,0,0,66,138,206,12732,109,175,0,0,0,0,205,1746,41,120,165,649,156,2011,86.207729468599,75.984126984127,7.71666666666667,1.01388888888889,61.8058252427184,NA,NA
1070,37331,"$100,000 under $200,000",171,463,161,21330,176,18844,112,450,50,133,31,935,0,42,319,34,1383,74,2473,0,0,36,826,89,2026,79,656,67,637,76,108,0,0,79,193,171,16906,89,107,0,0,0,0,170,3018,59,407,126,550,143,2011,124.736842105263,107.068181818182,9.50746268656716,1.42105263157895,98.8654970760234,NA,NA
1071,37331,"$200,000 or more",20,59,0,6325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,5655,0,0,0,0,0,0,20,1465,0,0,0,0,0,2011,316.25,NA,NA,NA,282.75,NA,NA
1072,37332,Total,1076,2309,752,42778,926,34393,249,116,58,24,128,608,49,57,74,55,591,210,3591,152,844,140,1206,167,2753,101,418,123,912,135,119,0,0,144,262,783,25245,316,343,263,598,237,547,760,3568,112,200,938,2547,585,2011,39.7565055762082,37.1414686825054,7.41463414634146,0.881481481481482,32.2413793103448,2.27376425855513,2.30801687763713
1073,37332,"$1 under $25,000",461,787,263,5631,358,4182,54,37,0,0,57,285,26,0,0,28,190,68,572,69,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,1004,49,12,187,450,170,415,202,150,32,20,412,895,237,2011,12.2147505422993,11.6815642458101,NA,NA,5.60893854748603,2.40641711229947,2.44117647058824
1074,37332,"$25,000 under $50,000",308,699,219,10899,281,9146,72,34,37,14,49,250,0,36,-24,0,0,55,802,44,225,79,315,61,919,28,119,39,269,43,37,0,0,53,60,297,5178,136,96,76,148,67,132,259,595,29,56,276,833,167,2011,35.3863636363636,32.5480427046263,6.8974358974359,0.86046511627907,17.4343434343434,1.94736842105263,1.97014925373134
1075,37332,"$50,000 under $75,000",159,428,150,9728,147,8245,42,16,0,0,0,0,23,0,0,27,401,43,847,39,206,30,369,37,553,37,151,29,206,30,21,0,0,29,52,159,6256,68,126,0,0,0,0,151,742,31,58,140,434,92,2011,61.1823899371069,56.0884353741497,7.10344827586207,0.7,39.3459119496855,NA,NA
